Gene,N-FACS (1+2+3),N-T0 (2+3),N-T3 (1+2+3)
CG43049,0.062428157,0,0
CG43050,0,0,0
CG43052,0.384130424,0.63577993,0.474854439
CG43054,0,0,0
CG43055,0.031214078,0.089598621,0.144194149
CG43056,0,0,0
CG43057,0,0,0
CG43058,0.239458957,0,0.039402174
CG43059,0,0,0.0653898
CG4306,0.064662592,0,0
CG43060,0,0,0
CG43061,0.031214078,0,0
CG43062,1.291641143,0.372878374,0.963964899
CG43063,0,0,0
CG43064,0.124856314,0.283279753,0.170181775
CG43066,242.3159472,178.1980299,151.7655164
CG43068,0.064662592,0,0
CG43069,0.098111105,0.604116872,0.253135093
CG43070,0.244256809,0.239828081,0.32651132
CG43071,0,0.245722388,0.224589163
CG43072,0.09587667,0,0.245148667
CG43074,0.033448513,6.419941402,0.0326949
CG43075,0.062428157,0,0
CG43076,0.062428157,0,0.038123022
CG43077,0.156070392,0,0.038123022
CG43078,19.86646271,12.95643419,15.76282075
CG43082,0,0,0
CG43083,0.031214078,0,0.0326949
CG43084,0.031214078,0,0
CG43085,0.874685949,0.71089466,0.942563923
CG43088,0.974271291,1.679300323,3.57224408
CG43089,0.033448513,0,0.038123022
CG43090,0.031214078,4.041031279,0
CG43091,0.031214078,0.141639877,0.078804349
CG43092,0.150943557,0.037557365,0.104791974
CG43093,0.123245622,0.052041256,0.0653898
CG43094,0,0,0.039402174
CG43095,0.02993237,0,0.070817922
CG43098,0,0,0
CG43101,0.031214078,0,0
CG43102,8.979001752,1.343979314,1.069194553
CG43103,0,1.245791109,0.337367564
CG43104,0.031214078,0,0
CG43106,0.031214078,0,0
CG43107,0.033448513,0.052041256,0.190615111
CG43108,0.183110361,0.231238498,0.072097074
CG43109,0,1.537660446,2.123879963
CG43110,0.402561636,0.164713351,0.416171913
CG43111,0.10034554,0,0.0326949
CG43112,0,0,0
CG43114,0.031214078,0.07511473,0.077525197
CG43115,0.062428157,0,0.039402174
CG43116,0.553505193,0.404541433,0.411055304
CG43117,0.81951683,0.41043574,0.413613609
CG43120,0.09587667,0,0
CG43121,0.031214078,0,0
CG43123,0.837948043,0.141639877,0.149622271
CG43124,0,0.037557365,0
CG43125,0,0.112672095,0
CG43127,0.031214078,0,0
CG43129,4.208828958,3.950928905,3.732604238
CG4313,31.10995628,37.16473726,29.76717738
CG43131,1.174531156,1.661617402,1.343200663
CG43132,0.031214078,0.104082512,0.108940944
CG43133,0.031214078,0,0
CG43134,0,0.358394484,0.197010872
CG43135,0,0,0
CG43136,0,0,0
CG43137,0,0,0
CG43138,0.031214078,0,0
CG43139,0,0,0
CG43143,39.20523211,75.82149177,78.34497015
CG43145,0,0,0
CG43147,0,0,0
CG43149,0.031214078,0,0
CG43150,0.507705029,0.112672095,0.341516534
CG43153,0.031214078,0.07511473,0.0326949
CG43155,1.974232834,0.216754607,0.038123022
CG43156,0.033448513,0.037557365,0
CG43163,59.15300192,124.608634,109.8582471
CG43164,0.872780497,0.505928667,0.070817922
CG43165,0,0,0
CG43166,0.124527331,0,0.104791974
CG43167,0.066897027,0,0
CG43168,0.062428157,0,0
CG43169,0.150943557,0,0.0326949
CG43171,0,0,0
CG43172,0,0,0
CG43173,0,0,0
CG43174,0,0,0
CG43175,0.033448513,0.722683274,0.383477013
CG43176,0,0,0
CG43177,0.033448513,0,0
CG43178,0,0,0
CG43179,0.969802422,2.577981809,1.556933582
CG4318,0.062428157,0.089598621,0.118206523
